matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
8b21e514-642e-52c8-ad63-14a911ef1178,Callum Wilson,ENG,30.0,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.5,0.5,0.1,0.0,0.0,8.0,8.0,100.0,0.0,10.0,1.0,1.0,0.0,72.0,0.0,7.0,7.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,5.0,18.0,0.0,1.0,100.0,50.0,21.0,0.0,1.0,3.0,2.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,True,2022-2023,FW,None,None,None,1.0,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,30.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,0.5,0.5,0.1,0.0,0.0,8.0,8.0,100.0,0.0,10.0,1.0,1.0,0.0,72.0,0.0,7.0,7.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,5.0,18.0,0.0,1.0,100.0,50.0,21.0,0.0,1.0,3.0,2.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,2.3,0.6,3.0,0.0,26.0
8b21e514-642e-52c8-ad63-14a911ef1178,Allan Saint-Maximin,FRA,25.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,3.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,13.0,22.0,59.1,1.0,19.0,2.0,2.0,1.0,271.0,82.0,6.0,10.0,60.0,5.0,9.0,55.6,2.0,2.0,100.0,0.0,0.0,2.0,1.0,0.0,22.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,7.0,12.0,12.0,2.0,31.0,50.0,1.0,50.0,144.0,79.0,0.0,1.0,2.0,1.0,19.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,True,2022-2023,LW,None,None,None,0.7555555555555555,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,33.088235294117645,0.0,0.0,0.0,0.0,1.3235294117647058,0.0,0.0,0.0,41.029411764705884,3.9705882352941178,0.0,1.3235294117647058,0.1323529411764706,0.1323529411764706,0.0,0.0,0.0,17.205882352941178,29.11764705882353,78.22058823529412,1.3235294117647058,25.147058823529413,2.6470588235294117,2.6470588235294117,1.3235294117647058,358.6764705882353,108.52941176470588,7.9411764705882355,13.23529411764706,79.41176470588235,6.61764705882353,11.911764705882353,73.58823529411765,2.6470588235294117,2.6470588235294117,132.35294117647058,0.0,0.0,2.6470588235294117,1.3235294117647058,0.0,29.11764705882353,0.0,0.0,0.0,1.3235294117647058,2.6470588235294117,0.0,0.0,0.0,0.0,0.0,0.0,1.3235294117647058,1.3235294117647058,2.6470588235294117,1.3235294117647058,0.0,2.6470588235294117,2.6470588235294117,132.35294117647058,0.0,0.0,1.3235294117647058,3.9705882352941178,1.3235294117647058,0.0,3.9705882352941178,9.264705882352942,15.882352941176471,15.882352941176471,2.6470588235294117,41.029411764705884,66.17647058823529,1.3235294117647058,66.17647058823529,190.58823529411765,104.55882352941177,0.0,1.3235294117647058,2.6470588235294117,1.3235294117647058,25.147058823529413,9.264705882352942,0.0,0.0,1.3235294117647058,0.0,0.0,0.0,0.0,2.6470588235294117,0.0,0.0,0.0,1.0,3.0441176470588234,0.7941176470588235,3.9705882352941178,0.0,34.411764705882355
8b21e514-642e-52c8-ad63-14a911ef1178,Anthony Gordon,ENG,21.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,10.0,11.0,90.9,1.0,9.0,1.0,0.0,0.0,117.0,65.0,7.0,8.0,87.5,3.0,3.0,100.0,0.0,0.0,0.0,0.2,1.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,14.0,0.0,0.0,0.0,70.0,37.0,1.0,0.0,1.0,0.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2022-2023,LW,None,None,None,0.24444444444444444,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,85.9090909090909,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,57.27272727272727,0.0,0.0,0.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,8.181818181818182,0.0,40.909090909090914,45.0,371.8636363636364,4.090909090909091,36.81818181818182,4.090909090909091,0.0,0.0,478.6363636363636,265.90909090909093,28.636363636363637,32.72727272727273,357.95454545454544,12.272727272727273,12.272727272727273,409.0909090909091,0.0,0.0,0.0,0.8181818181818182,4.090909090909091,8.181818181818182,0.0,0.0,45.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.454545454545457,36.81818181818182,8.181818181818182,57.27272727272727,0.0,0.0,0.0,286.3636363636364,151.36363636363637,4.090909090909091,0.0,4.090909090909091,0.0,53.18181818181819,12.272727272727273,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.409090909090908,2.4545454545454546,12.272727272727273,0.0,106.36363636363637
8b21e514-642e-52c8-ad63-14a911ef1178,Miguel Almiron,PAR,28.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,40.0,44.0,90.9,4.0,35.0,4.0,1.0,0.0,587.0,131.0,18.0,19.0,94.7,17.0,17.0,100.0,1.0,1.0,100.0,0.1,0.0,1.0,0.0,0.0,41.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,15.0,29.0,1.0,49.0,0.0,0.0,0.0,289.0,144.0,5.0,0.0,1.0,2.0,38.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,True,2022-2023,RW,None,None,None,0.8888888888888888,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.125,0.0,0.0,1.125,0.0,0.0,0.0,2.25,0.0,45.0,49.5,102.26250000000002,4.5,39.375,4.5,1.125,0.0,660.375,147.375,20.25,21.375,106.53750000000001,19.125,19.125,112.5,1.125,1.125,112.5,0.11250000000000002,0.0,1.125,0.0,0.0,46.125,3.375,0.0,0.0,0.0,0.0,2.25,1.125,0.0,0.0,0.0,0.0,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,0.0,1.125,0.0,1.125,6.75,16.875,32.625,1.125,55.125,0.0,0.0,0.0,325.125,162.0,5.625,0.0,1.125,2.25,42.75,7.875,0.0,1.125,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0,1.0,2.5875,0.675,3.375,0.0,29.25
8b21e514-642e-52c8-ad63-14a911ef1178,Jacob Murphy,ENG,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,2.0,1.0,1.0,0.0,22.0,9.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,29.0,23.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2022-2023,RW,None,None,None,0.1111111111111111,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,450.0,9.0,18.0,9.0,9.0,0.0,198.0,81.0,18.0,36.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,36.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,9.0,9.0,900.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,18.0,27.0,0.0,54.0,0.0,0.0,0.0,261.0,207.0,9.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,20.7,5.4,27.0,0.0,234.0
8b21e514-642e-52c8-ad63-14a911ef1178,Joelinton,BRA,26.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,50.0,61.0,82.0,6.0,49.0,5.0,3.0,2.0,776.0,125.0,25.0,29.0,86.2,23.0,25.0,92.0,1.0,2.0,50.0,0.0,0.0,3.0,1.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,2.0,19.0,37.0,21.0,0.0,77.0,66.7,1.0,33.3,334.0,156.0,6.0,0.0,2.0,5.0,52.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,25.0,True,2022-2023,LM,None,None,None,1.0,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,50.0,61.0,82.0,6.0,49.0,5.0,3.0,2.0,776.0,125.0,25.0,29.0,86.2,23.0,25.0,92.0,1.0,2.0,50.0,0.0,0.0,3.0,1.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,2.0,19.0,37.0,21.0,0.0,77.0,66.7,1.0,33.3,334.0,156.0,6.0,0.0,2.0,5.0,52.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,25.0,1.0,2.3,0.6,3.0,0.0,26.0
8b21e514-642e-52c8-ad63-14a911ef1178,Sean Longstaff,ENG,25.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,62.0,72.0,86.1,5.0,44.0,2.0,2.0,1.0,999.0,223.0,30.0,34.0,88.2,22.0,22.0,100.0,7.0,11.0,63.6,0.3,1.0,2.0,2.0,0.0,72.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,34.0,29.0,2.0,75.0,50.0,1.0,50.0,290.0,100.0,2.0,1.0,1.0,0.0,60.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,True,2022-2023,CM,None,None,None,1.0,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,62.0,72.0,86.1,5.0,44.0,2.0,2.0,1.0,999.0,223.0,30.0,34.0,88.2,22.0,22.0,100.0,7.0,11.0,63.6,0.3,1.0,2.0,2.0,0.0,72.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,34.0,29.0,2.0,75.0,50.0,1.0,50.0,290.0,100.0,2.0,1.0,1.0,0.0,60.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,2.3,0.6,3.0,0.0,26.0
8b21e514-642e-52c8-ad63-14a911ef1178,Joe Willock,ENG,23.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,48.0,87.5,3.0,34.0,4.0,3.0,1.0,672.0,71.0,21.0,22.0,95.5,15.0,16.0,93.8,4.0,7.0,57.1,0.0,0.0,3.0,0.0,0.0,46.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,11.0,25.0,24.0,0.0,58.0,33.3,2.0,66.7,172.0,102.0,0.0,0.0,2.0,1.0,42.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,True,2022-2023,RM,None,None,None,0.8888888888888888,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,25.875,0.0,0.0,0.0,0.0,0.0,0.0,1.125,0.0,65.25,2.25,1.125,2.25,0.0,0.0,0.0,0.0,0.0,47.25,54.0,98.4375,3.375,38.25,4.5,3.375,1.125,756.0,79.875,23.625,24.75,107.4375,16.875,18.0,105.525,4.5,7.875,64.23750000000001,0.0,0.0,3.375,0.0,0.0,51.75,2.25,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,0.0,2.25,0.0,0.0,2.25,0.0,2.25,0.0,2.25,3.375,0.0,0.0,2.25,12.375,28.125,27.0,0.0,65.25,37.4625,2.25,75.03750000000001,193.5,114.75,0.0,0.0,2.25,1.125,47.25,3.375,0.0,2.25,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,1.0,2.5875,0.675,3.375,0.0,29.25
8b21e514-642e-52c8-ad63-14a911ef1178,Elliot Anderson,SCO,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,3.0,10.0,2.0,0.0,0.0,131.0,46.0,4.0,6.0,66.7,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,11.0,0.0,0.0,0.0,94.0,58.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2022-2023,RM,None,None,None,0.1111111111111111,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,99.0,736.2,27.0,90.0,18.0,0.0,0.0,1179.0,414.0,36.0,54.0,600.3000000000001,45.0,45.0,900.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,54.0,0.0,99.0,0.0,0.0,0.0,846.0,522.0,0.0,0.0,0.0,0.0,99.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,20.7,5.4,27.0,0.0,234.0
8b21e514-642e-52c8-ad63-14a911ef1178,Dan Burn,ENG,30.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,1.0,3.0,0.0,0.0,0.3,0.0,0.0,53.0,73.0,72.6,6.0,39.0,0.0,1.0,1.0,786.0,284.0,30.0,34.0,88.2,21.0,27.0,77.8,1.0,6.0,16.7,0.0,1.0,4.0,1.0,0.0,67.0,6.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,6.0,27.0,38.0,21.0,5.0,85.0,100.0,0.0,0.0,158.0,71.0,1.0,0.0,1.0,0.0,56.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,3.0,72.7,True,2022-2023,LB,None,None,None,1.0,Newcastle Utd_West Ham,Newcastle Utd_West Ham_2022,2.3,0.6,3.0,0.0,2017-08-26,Niel Swarbrick,St. James' Park,Sat,15:00,"52,093",26,Newcastle Utd,West Ham,fb0c9054-49e2-5922-aebd-471f8d5bf4c5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,1.0,3.0,0.0,0.0,0.3,0.0,0.0,53.0,73.0,72.6,6.0,39.0,0.0,1.0,1.0,786.0,284.0,30.0,34.0,88.2,21.0,27.0,77.8,1.0,6.0,16.7,0.0,1.0,4.0,1.0,0.0,67.0,6.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,6.0,27.0,38.0,21.0,5.0,85.0,100.0,0.0,0.0,158.0,71.0,1.0,0.0,1.0,0.0,56.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,3.0,72.7,1.0,2.3,0.6,3.0,0.0,26.0
