matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
834f9057-0119-5261-8629-1175f592393a,Kelechi Iheanacho,NGA,22.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,90.9,0.0,9.0,0.0,2.0,2.0,131.0,33.0,5.0,6.0,83.3,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,1.0,13.0,100.0,0.0,0.0,21.0,8.0,1.0,0.0,2.0,0.0,13.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,True,2018-2019,FW,None,None,None,0.6111111111111112,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.363636363636363,18.0,148.74545454545455,0.0,14.727272727272727,0.0,3.2727272727272725,3.2727272727272725,214.36363636363635,53.99999999999999,8.181818181818182,9.818181818181817,136.30909090909088,6.545454545454545,6.545454545454545,163.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636362,13.09090909090909,8.181818181818182,1.6363636363636362,21.27272727272727,163.63636363636363,0.0,0.0,34.36363636363636,13.09090909090909,1.6363636363636362,0.0,3.2727272727272725,0.0,21.27272727272727,4.909090909090908,0.0,0.0,1.6363636363636362,1.6363636363636362,0.0,0.0,0.0,3.2727272727272725,0.0,4.909090909090908,0.0,1.0,0.9818181818181817,3.927272727272727,3.2727272727272725,1.6363636363636362,235.63636363636363
834f9057-0119-5261-8629-1175f592393a,Rachid Ghezzal,ALG,26.0,35.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,24.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,13.0,18.0,72.2,3.0,19.0,1.0,1.0,1.0,139.0,52.0,10.0,12.0,83.3,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,11.0,3.0,24.0,100.0,0.0,0.0,82.0,37.0,2.0,0.0,3.0,2.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2018-2019,RW,LM,None,None,0.3888888888888889,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,66.85714285714286,0.0,0.0,0.0,0.0,5.142857142857142,5.142857142857142,0.0,0.0,61.714285714285715,2.571428571428571,0.0,0.0,0.2571428571428572,0.2571428571428572,0.0,5.142857142857142,0.0,33.42857142857143,46.285714285714285,185.65714285714287,7.714285714285714,48.857142857142854,2.571428571428571,2.571428571428571,2.571428571428571,357.42857142857144,133.71428571428572,25.714285714285715,30.857142857142858,214.2,5.142857142857142,10.285714285714285,128.57142857142856,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,0.0,41.14285714285714,2.571428571428571,2.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,2.571428571428571,0.0,2.571428571428571,0.0,0.0,2.571428571428571,0.0,2.571428571428571,0.0,0.0,2.571428571428571,0.0,0.0,0.0,2.571428571428571,33.42857142857143,28.285714285714285,7.714285714285714,61.714285714285715,257.1428571428571,0.0,0.0,210.85714285714286,95.14285714285714,5.142857142857142,0.0,7.714285714285714,5.142857142857142,54.0,7.714285714285714,0.0,2.571428571428571,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,0.0,0.0,1.0,1.5428571428571427,6.171428571428571,5.142857142857142,2.571428571428571,370.2857142857143
834f9057-0119-5261-8629-1175f592393a,James Maddison,ENG,22.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,2.0,1.0,2.0,0.1,0.1,0.1,6.0,0.0,35.0,49.0,71.4,6.0,38.0,2.0,1.0,0.0,640.0,168.0,17.0,20.0,85.0,13.0,18.0,72.2,5.0,10.0,50.0,0.5,3.0,3.0,2.0,0.0,38.0,10.0,3.0,1.0,0.0,8.0,0.0,6.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,22.0,35.0,2.0,61.0,0.0,1.0,100.0,163.0,79.0,2.0,1.0,2.0,1.0,38.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,True,2018-2019,LW,AM,None,None,1.0,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,2.0,1.0,2.0,0.1,0.1,0.1,6.0,0.0,35.0,49.0,71.4,6.0,38.0,2.0,1.0,0.0,640.0,168.0,17.0,20.0,85.0,13.0,18.0,72.2,5.0,10.0,50.0,0.5,3.0,3.0,2.0,0.0,38.0,10.0,3.0,1.0,0.0,8.0,0.0,6.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,22.0,35.0,2.0,61.0,0.0,1.0,100.0,163.0,79.0,2.0,1.0,2.0,1.0,38.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.6,2.4,2.0,1.0,144.0
834f9057-0119-5261-8629-1175f592393a,Demarai Gray,JAM,22.0,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,46.0,3.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,24.0,34.0,70.6,1.0,29.0,2.0,4.0,2.0,450.0,112.0,10.0,13.0,76.9,7.0,8.0,87.5,5.0,7.0,71.4,0.0,1.0,1.0,1.0,0.0,34.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,14.0,25.0,2.0,46.0,50.0,2.0,50.0,242.0,96.0,3.0,1.0,2.0,2.0,30.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,True,2018-2019,RW,FW,None,None,1.0,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,22.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,46.0,3.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,24.0,34.0,70.6,1.0,29.0,2.0,4.0,2.0,450.0,112.0,10.0,13.0,76.9,7.0,8.0,87.5,5.0,7.0,71.4,0.0,1.0,1.0,1.0,0.0,34.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,14.0,25.0,2.0,46.0,50.0,2.0,50.0,242.0,96.0,3.0,1.0,2.0,2.0,30.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.6,2.4,2.0,1.0,144.0
834f9057-0119-5261-8629-1175f592393a,Wilfred Ndidi,NGA,21.0,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,64.0,2.0,1.0,3.0,0.1,0.1,0.0,2.0,0.0,41.0,48.0,85.4,6.0,40.0,0.0,3.0,1.0,628.0,223.0,19.0,23.0,82.6,11.0,12.0,91.7,5.0,5.0,100.0,0.0,1.0,5.0,0.0,0.0,47.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,2.0,12.0,35.0,18.0,0.0,64.0,33.3,2.0,66.7,111.0,54.0,1.0,0.0,1.0,0.0,34.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,50.0,True,2018-2019,LM,DM,None,None,1.0,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,21.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,64.0,2.0,1.0,3.0,0.1,0.1,0.0,2.0,0.0,41.0,48.0,85.4,6.0,40.0,0.0,3.0,1.0,628.0,223.0,19.0,23.0,82.6,11.0,12.0,91.7,5.0,5.0,100.0,0.0,1.0,5.0,0.0,0.0,47.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,2.0,12.0,35.0,18.0,0.0,64.0,33.3,2.0,66.7,111.0,54.0,1.0,0.0,1.0,0.0,34.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,50.0,1.0,0.6,2.4,2.0,1.0,144.0
834f9057-0119-5261-8629-1175f592393a,Vicente Iborra,ESP,30.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,1.0,0.0,0.0,0.1,1.0,0.0,14.0,19.0,73.7,0.0,13.0,0.0,0.0,0.0,391.0,117.0,3.0,4.0,75.0,6.0,8.0,75.0,5.0,5.0,100.0,0.1,1.0,1.0,0.0,0.0,19.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0,13.0,1.0,0.0,23.0,0.0,0.0,0.0,57.0,12.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,True,2018-2019,CM,None,None,None,0.6111111111111112,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,49.090909090909086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.63636363636363,0.0,3.2727272727272725,1.6363636363636362,0.0,0.0,0.16363636363636364,1.6363636363636362,0.0,22.909090909090907,31.09090909090909,120.6,0.0,21.27272727272727,0.0,0.0,0.0,639.8181818181818,191.45454545454544,4.909090909090908,6.545454545454545,122.72727272727272,9.818181818181817,13.09090909090909,122.72727272727272,8.181818181818182,8.181818181818182,163.63636363636363,0.16363636363636364,1.6363636363636362,1.6363636363636362,0.0,0.0,31.09090909090909,0.0,0.0,3.2727272727272725,1.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636362,0.0,0.0,0.0,0.0,0.0,1.6363636363636362,0.0,1.6363636363636362,0.0,1.6363636363636362,3.2727272727272725,0.0,0.0,0.0,14.727272727272727,21.27272727272727,1.6363636363636362,0.0,37.63636363636363,0.0,0.0,0.0,93.27272727272727,19.636363636363633,0.0,0.0,0.0,0.0,22.909090909090907,0.0,0.0,3.2727272727272725,0.0,0.0,0.0,0.0,0.0,4.909090909090908,1.6363636363636362,0.0,163.63636363636363,1.0,0.9818181818181817,3.927272727272727,3.2727272727272725,1.6363636363636362,235.63636363636363
834f9057-0119-5261-8629-1175f592393a,Marc Albrighton,ENG,29.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,18.0,50.0,2.0,17.0,0.0,5.0,1.0,139.0,21.0,5.0,7.0,71.4,3.0,8.0,37.5,1.0,3.0,33.3,0.0,1.0,1.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,26.0,20.0,4.0,80.0,46.0,14.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,True,2018-2019,LW,RM,None,None,0.3888888888888889,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,74.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571428571,0.0,66.85714285714286,5.142857142857142,0.0,5.142857142857142,0.0,0.0,0.0,5.142857142857142,0.0,23.142857142857142,46.285714285714285,128.57142857142856,5.142857142857142,43.714285714285715,0.0,12.857142857142858,2.571428571428571,357.42857142857144,54.0,12.857142857142858,18.0,183.60000000000002,7.714285714285714,20.57142857142857,96.42857142857143,2.571428571428571,7.714285714285714,85.62857142857142,0.0,2.571428571428571,2.571428571428571,0.0,0.0,43.714285714285715,2.571428571428571,0.0,0.0,0.0,10.285714285714285,2.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857142,0.0,2.571428571428571,2.571428571428571,0.0,0.0,0.0,0.0,0.0,5.142857142857142,5.142857142857142,0.0,0.0,0.0,0.0,30.857142857142858,36.0,0.0,66.85714285714286,51.42857142857143,10.285714285714285,205.71428571428572,118.28571428571428,36.0,0.0,0.0,0.0,0.0,43.714285714285715,0.0,0.0,5.142857142857142,0.0,0.0,0.0,0.0,0.0,5.142857142857142,2.571428571428571,0.0,257.1428571428571,1.0,1.5428571428571427,6.171428571428571,5.142857142857142,2.571428571428571,370.2857142857143
834f9057-0119-5261-8629-1175f592393a,Nampalys Mendy,SEN,26.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,31.0,90.3,2.0,25.0,1.0,2.0,1.0,501.0,78.0,13.0,13.0,100.0,11.0,12.0,91.7,3.0,4.0,75.0,0.0,0.0,2.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,12.0,24.0,6.0,0.0,41.0,50.0,1.0,50.0,161.0,72.0,0.0,0.0,2.0,0.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,True,2018-2019,RM,DM,None,None,0.8666666666666667,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1538461538461537,0.0,47.30769230769231,0.0,1.1538461538461537,0.0,0.0,0.0,0.0,1.1538461538461537,0.0,32.30769230769231,35.76923076923077,104.19230769230768,2.3076923076923075,28.846153846153847,1.1538461538461537,2.3076923076923075,1.1538461538461537,578.0769230769231,90.0,15.0,15.0,115.38461538461539,12.692307692307692,13.846153846153845,105.8076923076923,3.4615384615384612,4.615384615384615,86.53846153846153,0.0,0.0,2.3076923076923075,0.0,0.0,33.46153846153846,2.3076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3076923076923075,0.0,2.3076923076923075,0.0,0.0,1.1538461538461537,1.1538461538461537,0.0,2.3076923076923075,13.846153846153845,27.69230769230769,6.9230769230769225,0.0,47.30769230769231,57.69230769230769,1.1538461538461537,57.69230769230769,185.76923076923077,83.07692307692308,0.0,0.0,2.3076923076923075,0.0,27.69230769230769,0.0,0.0,1.1538461538461537,1.1538461538461537,0.0,0.0,0.0,0.0,2.3076923076923075,0.0,0.0,0.0,1.0,0.6923076923076923,2.769230769230769,2.3076923076923075,1.1538461538461537,166.15384615384616
834f9057-0119-5261-8629-1175f592393a,Shinji Okazaki,JPN,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,85.7,1.0,10.0,0.0,3.0,0.0,85.0,10.0,5.0,6.0,83.3,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,2.0,13.0,0.0,3.0,100.0,30.0,3.0,0.0,0.0,1.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,True,2018-2019,FW,DM,None,None,0.13333333333333333,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,0.0,7.5,0.0,0.0,0.0,7.5,0.0,45.0,52.5,642.75,7.5,75.0,0.0,22.5,0.0,637.5,75.0,37.5,45.0,624.75,0.0,0.0,0.0,7.5,7.5,750.0,0.0,0.0,0.0,7.5,0.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,30.0,67.5,15.0,97.5,0.0,22.5,750.0,225.0,22.5,0.0,0.0,7.5,0.0,82.5,22.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,4.5,18.0,15.0,7.5,1080.0
834f9057-0119-5261-8629-1175f592393a,Ben Chilwell,ENG,21.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,54.0,59.3,1.0,38.0,4.0,0.0,0.0,430.0,138.0,22.0,28.0,78.6,10.0,21.0,47.6,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,5.0,0.0,4.0,20.0,24.0,24.0,2.0,66.0,0.0,0.0,0.0,179.0,118.0,3.0,1.0,2.0,1.0,41.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7,True,2018-2019,LB,None,None,None,1.0,Leicester City_Tottenham,Leicester City_Tottenham_2018,0.6,2.4,2.0,1.0,2017-11-28,Anthony Taylor,King Power Stadium,Tue,19:45,"31,950",144,Leicester City,Tottenham,2635643a-3b48-5413-ab4a-bd41f28d0a48,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,54.0,59.3,1.0,38.0,4.0,0.0,0.0,430.0,138.0,22.0,28.0,78.6,10.0,21.0,47.6,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,5.0,0.0,4.0,20.0,24.0,24.0,2.0,66.0,0.0,0.0,0.0,179.0,118.0,3.0,1.0,2.0,1.0,41.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7,1.0,0.6,2.4,2.0,1.0,144.0
