matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Jermain Defoe,ENG,34.0,81.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0,0.6,0.6,0.2,6.0,0.0,10.0,12.0,83.3,2.0,19.0,1.0,2.0,0.0,133.0,29.0,7.0,8.0,87.5,3.0,4.0,75.0,0.0,0.0,0.0,0.1,3.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,16.0,8.0,24.0,0.0,2.0,100.0,126.0,45.0,0.0,1.0,4.0,4.0,20.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2017-2018,FW,None,None,None,0.9,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,37.77777777777778,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,26.666666666666664,2.2222222222222223,0.0,1.1111111111111112,0.6666666666666666,0.6666666666666666,0.22222222222222224,6.666666666666666,0.0,11.11111111111111,13.333333333333332,92.55555555555556,2.2222222222222223,21.11111111111111,1.1111111111111112,2.2222222222222223,0.0,147.77777777777777,32.22222222222222,7.777777777777778,8.88888888888889,97.22222222222221,3.333333333333333,4.444444444444445,83.33333333333333,0.0,0.0,0.0,0.11111111111111112,3.333333333333333,0.0,0.0,0.0,12.222222222222221,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,2.2222222222222223,0.0,0.0,0.0,1.1111111111111112,7.777777777777778,17.77777777777778,8.88888888888889,26.666666666666664,0.0,2.2222222222222223,111.11111111111111,140.0,50.0,0.0,1.1111111111111112,4.444444444444445,4.444444444444445,22.22222222222222,8.88888888888889,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,1.0,1.5555555555555554,0.6666666666666666,0.0,0.0,77.77777777777777
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Benik Afobe,COD,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,6.0,1.0,1.0,1.0,61.0,19.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,6.0,100.0,0.0,0.0,67.0,37.0,0.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,2017-2018,FW,None,None,None,0.1,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,1000.0,10.0,60.0,10.0,10.0,10.0,610.0,190.0,40.0,40.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,30.0,20.0,60.0,1000.0,0.0,0.0,670.0,370.0,0.0,10.0,10.0,0.0,50.0,40.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,1.0,13.999999999999998,5.999999999999999,0.0,0.0,700.0
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Joshua King,NOR,25.0,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,53.0,1.0,0.0,1.0,0.2,0.2,0.5,6.0,0.0,24.0,36.0,66.7,7.0,45.0,6.0,7.0,3.0,336.0,100.0,12.0,16.0,75.0,10.0,17.0,58.8,1.0,1.0,100.0,0.2,4.0,0.0,4.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,20.0,30.0,10.0,53.0,42.9,2.0,28.6,331.0,194.0,4.0,4.0,4.0,0.0,45.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0,True,2017-2018,FW,None,None,None,1.0,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,25.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,53.0,1.0,0.0,1.0,0.2,0.2,0.5,6.0,0.0,24.0,36.0,66.7,7.0,45.0,6.0,7.0,3.0,336.0,100.0,12.0,16.0,75.0,10.0,17.0,58.8,1.0,1.0,100.0,0.2,4.0,0.0,4.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,20.0,30.0,10.0,53.0,42.9,2.0,28.6,331.0,194.0,4.0,4.0,4.0,0.0,45.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0,1.0,1.4,0.6,0.0,0.0,70.0
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Marc Pugh,ENG,30.0,68.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,55.0,1.0,0.0,2.0,0.4,0.4,0.1,3.0,0.0,35.0,41.0,85.4,3.0,44.0,7.0,4.0,1.0,510.0,169.0,28.0,30.0,93.3,4.0,6.0,66.7,3.0,4.0,75.0,0.1,1.0,2.0,1.0,0.0,40.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,21.0,29.0,8.0,55.0,25.0,1.0,25.0,314.0,175.0,2.0,5.0,2.0,1.0,44.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,True,2017-2018,LM,None,None,None,0.7555555555555555,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,39.705882352941174,0.0,0.0,0.0,0.0,6.61764705882353,0.0,1.3235294117647058,0.0,72.79411764705883,1.3235294117647058,0.0,2.6470588235294117,0.5294117647058824,0.5294117647058824,0.1323529411764706,3.9705882352941178,0.0,46.32352941176471,54.26470588235294,113.0294117647059,3.9705882352941178,58.23529411764706,9.264705882352942,5.294117647058823,1.3235294117647058,675.0,223.6764705882353,37.05882352941177,39.705882352941174,123.48529411764706,5.294117647058823,7.9411764705882355,88.27941176470588,3.9705882352941178,5.294117647058823,99.26470588235294,0.1323529411764706,1.3235294117647058,2.6470588235294117,1.3235294117647058,0.0,52.94117647058824,1.3235294117647058,0.0,0.0,0.0,2.6470588235294117,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,1.3235294117647058,0.0,0.0,1.3235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,2.6470588235294117,1.3235294117647058,0.0,0.0,0.0,7.9411764705882355,27.794117647058822,38.38235294117647,10.588235294117647,72.79411764705883,33.088235294117645,1.3235294117647058,33.088235294117645,415.5882352941177,231.61764705882354,2.6470588235294117,6.61764705882353,2.6470588235294117,1.3235294117647058,58.23529411764706,11.911764705882353,0.0,1.3235294117647058,1.3235294117647058,0.0,0.0,0.0,0.0,3.9705882352941178,0.0,0.0,0.0,1.0,1.852941176470588,0.7941176470588235,0.0,0.0,92.64705882352942
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Jordon Ibe,ENG,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,10.0,13.0,76.9,2.0,14.0,5.0,1.0,1.0,167.0,24.0,4.0,7.0,57.1,5.0,5.0,100.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0,2.0,16.0,100.0,0.0,0.0,163.0,80.0,1.0,2.0,0.0,1.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2017-2018,RM,LM,None,None,0.24444444444444444,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,85.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.45454545454545,4.090909090909091,0.0,0.0,0.0,0.0,0.4090909090909091,4.090909090909091,0.0,40.909090909090914,53.18181818181819,314.5909090909091,8.181818181818182,57.27272727272727,20.454545454545457,4.090909090909091,4.090909090909091,683.1818181818182,98.18181818181819,16.363636363636363,28.636363636363637,233.5909090909091,20.454545454545457,20.454545454545457,409.0909090909091,4.090909090909091,4.090909090909091,409.0909090909091,0.0,4.090909090909091,4.090909090909091,4.090909090909091,0.0,53.18181818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,12.272727272727273,53.18181818181819,8.181818181818182,65.45454545454545,409.0909090909091,0.0,0.0,666.8181818181819,327.2727272727273,4.090909090909091,8.181818181818182,0.0,4.090909090909091,65.45454545454545,16.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,1.0,5.7272727272727275,2.4545454545454546,0.0,0.0,286.3636363636364
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Andrew Surman,ENG,31.0,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,75.0,2.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,53.0,66.0,80.3,6.0,47.0,0.0,0.0,0.0,1005.0,260.0,18.0,23.0,78.3,29.0,34.0,85.3,6.0,8.0,75.0,0.0,0.0,10.0,0.0,0.0,61.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,3.0,2.0,2.0,0.0,2.0,20.0,43.0,13.0,2.0,75.0,0.0,0.0,0.0,228.0,120.0,4.0,0.0,2.0,1.0,47.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,25.0,True,2017-2018,CM,None,None,None,1.0,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,31.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,75.0,2.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,53.0,66.0,80.3,6.0,47.0,0.0,0.0,0.0,1005.0,260.0,18.0,23.0,78.3,29.0,34.0,85.3,6.0,8.0,75.0,0.0,0.0,10.0,0.0,0.0,61.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,3.0,2.0,2.0,0.0,2.0,20.0,43.0,13.0,2.0,75.0,0.0,0.0,0.0,228.0,120.0,4.0,0.0,2.0,1.0,47.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,25.0,1.0,1.4,0.6,0.0,0.0,70.0
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Lewis Cook,ENG,20.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,77.0,1.0,1.0,1.0,0.1,0.1,0.2,4.0,0.0,57.0,67.0,85.1,14.0,53.0,2.0,6.0,6.0,1027.0,405.0,22.0,28.0,78.6,30.0,32.0,93.8,5.0,6.0,83.3,0.0,1.0,9.0,1.0,0.0,66.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,3.0,18.0,48.0,14.0,1.0,77.0,100.0,0.0,0.0,286.0,151.0,1.0,0.0,1.0,2.0,50.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0,True,2017-2018,CM,None,None,None,1.0,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,77.0,1.0,1.0,1.0,0.1,0.1,0.2,4.0,0.0,57.0,67.0,85.1,14.0,53.0,2.0,6.0,6.0,1027.0,405.0,22.0,28.0,78.6,30.0,32.0,93.8,5.0,6.0,83.3,0.0,1.0,9.0,1.0,0.0,66.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,3.0,18.0,48.0,14.0,1.0,77.0,100.0,0.0,0.0,286.0,151.0,1.0,0.0,1.0,2.0,50.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0,1.0,1.4,0.6,0.0,0.0,70.0
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Junior Stanislas,ENG,27.0,87.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,69.0,1.0,1.0,1.0,0.1,0.1,0.0,3.0,0.0,44.0,62.0,71.0,14.0,47.0,3.0,1.0,1.0,710.0,342.0,22.0,26.0,84.6,20.0,28.0,71.4,2.0,5.0,40.0,0.1,0.0,7.0,6.0,0.0,54.0,7.0,2.0,0.0,0.0,10.0,0.0,5.0,5.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,27.0,35.0,5.0,69.0,100.0,0.0,0.0,258.0,168.0,2.0,1.0,3.0,1.0,52.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,33.3,True,2017-2018,RM,LM,None,None,0.9666666666666667,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,27.93103448275862,0.0,0.0,0.0,0.0,3.103448275862069,2.0689655172413794,0.0,0.0,71.37931034482759,1.0344827586206897,1.0344827586206897,1.0344827586206897,0.10344827586206896,0.10344827586206896,0.0,3.103448275862069,0.0,45.51724137931034,64.13793103448276,73.44827586206897,14.482758620689655,48.62068965517241,3.103448275862069,1.0344827586206897,1.0344827586206897,734.4827586206897,353.7931034482759,22.75862068965517,26.896551724137932,87.51724137931033,20.689655172413794,28.96551724137931,73.86206896551725,2.0689655172413794,5.172413793103448,41.37931034482759,0.10344827586206896,0.0,7.241379310344827,6.206896551724138,0.0,55.86206896551724,7.241379310344827,2.0689655172413794,0.0,0.0,10.344827586206897,0.0,5.172413793103448,5.172413793103448,0.0,0.0,1.0344827586206897,3.103448275862069,0.0,1.0344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0344827586206897,2.0689655172413794,0.0,0.0,0.0,7.241379310344827,27.93103448275862,36.206896551724135,5.172413793103448,71.37931034482759,103.44827586206897,0.0,0.0,266.8965517241379,173.79310344827587,2.0689655172413794,1.0344827586206897,3.103448275862069,1.0344827586206897,53.793103448275865,10.344827586206897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.137931034482759,2.0689655172413794,4.137931034482759,34.44827586206896,1.0,1.4482758620689655,0.6206896551724138,0.0,0.0,72.41379310344827
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Ryan Fraser,SCO,23.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,50.0,1.0,5.0,3.0,0.0,0.0,49.0,17.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,7.0,0.0,0.0,0.0,44.0,43.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2017-2018,LM,None,None,None,0.03333333333333333,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,690.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,90.0,180.0,1500.0,30.0,150.0,90.0,0.0,0.0,1470.0,510.0,30.0,30.0,3000.0,60.0,90.0,2001.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,150.0,30.0,0.0,0.0,0.0,90.0,0.0,30.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,180.0,90.0,210.0,0.0,0.0,0.0,1320.0,1290.0,0.0,60.0,0.0,0.0,150.0,60.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,18.0,0.0,0.0,2100.0
bdd3cc97-b5ce-5c40-b8be-02af3f8fe664,Charlie Daniels,ENG,31.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,62.0,82.0,75.6,6.0,60.0,5.0,1.0,1.0,955.0,312.0,29.0,33.0,87.9,33.0,41.0,80.5,0.0,6.0,0.0,0.1,3.0,10.0,2.0,1.0,67.0,15.0,2.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,1.0,5.0,0.0,2.0,23.0,40.0,32.0,2.0,91.0,100.0,0.0,0.0,383.0,248.0,7.0,0.0,2.0,0.0,55.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7,True,2017-2018,LB,None,None,None,1.0,Bournemouth_Leicester City,Bournemouth_Leicester City_2017,1.4,0.6,0.0,0.0,2017-09-30,Graham Scott,Vitality Stadium,Sat,15:00,"10,444",70,draw,draw,c9add309-6615-5f81-928b-86a6237ba158,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,62.0,82.0,75.6,6.0,60.0,5.0,1.0,1.0,955.0,312.0,29.0,33.0,87.9,33.0,41.0,80.5,0.0,6.0,0.0,0.1,3.0,10.0,2.0,1.0,67.0,15.0,2.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,1.0,5.0,0.0,2.0,23.0,40.0,32.0,2.0,91.0,100.0,0.0,0.0,383.0,248.0,7.0,0.0,2.0,0.0,55.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7,1.0,1.4,0.6,0.0,0.0,70.0
