matchup_merge_key,player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,season_long,position,position_2,position_3,position_4,minutes_per90,match_teams,season_match_teams,home_xg,away_xg,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,0.4,0.2,0.0,0.0,2018-12-22,Martin Atkinson,St. James' Park,Sat,15:00,"51,237",194,draw,draw,5d7b235a-b19b-52d7-b56c-8d389f0e8dfc,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,0.4864864864864865,0.24324324324324326,0.0,0.0,235.94594594594597
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,0.7,2.1,0.0,4.0,2019-05-12,Kevin Friend,Craven Cottage,Sun,15:00,"24,979",423,Newcastle Utd,Fulham,e5ae9858-b3e6-5cae-9d5c-821bbb6c8e73,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,0.8513513513513513,2.5540540540540544,0.0,4.864864864864865,514.4594594594595
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,1.4,1.0,1.0,1.0,2020-12-19,Graham Scott,St. James' Park,Sat,20:00,0,143,draw,draw,206d7e6d-3df2-553f-a320-68679e36b436,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,1.7027027027027026,1.2162162162162162,1.2162162162162162,1.2162162162162162,173.91891891891893
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,1.0,1.3,0.0,2.0,2021-05-23,Chris Kavanagh,Craven Cottage,Sun,16:00,"2,000",439,Newcastle Utd,Fulham,d18d1752-78cd-56cf-a78d-ec3f91bc1100,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,1.2162162162162162,1.5810810810810811,0.0,2.4324324324324325,533.918918918919
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,0.5,3.3,1.0,4.0,2022-10-01,Darren England,Craven Cottage,Sat,15:00,"22,913",78,Newcastle Utd,Fulham,bca35584-93e7-5e49-97ce-c9cac5471705,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,0.6081081081081081,4.013513513513513,1.2162162162162162,4.864864864864865,94.86486486486487
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,2.2,1.1,1.0,0.0,2023-01-15,Robert Jones,St James' Park,Sun,14:00,"52,247",204,Newcastle Utd,Fulham,42cfa363-f6d9-5f45-9f02-bd17de0d40f6,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,2.675675675675676,1.337837837837838,1.2162162162162162,0.0,248.10810810810813
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,0.0,0.0,3.0,1.0,0,Eddie Wolstenholme,0,0,0,0,3782,Fulham,Newcastle Utd,53820095-d6cc-5d06-8fd8-8733f701115f,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,0.0,0.0,3.6486486486486487,1.2162162162162162,4599.72972972973
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,0.0,0.0,1.0,1.0,0,Alan Wiley,0,0,0,0,4002,draw,draw,d72d89f5-cbb4-56d8-8369-5c389f8318c7,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,0.0,0.0,1.2162162162162162,1.2162162162162162,4867.2972972972975
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,0.0,0.0,2.0,0.0,0,Alan Wiley,0,0,0,0,4226,Newcastle Utd,Fulham,6945bc15-7d33-591c-bf73-f4df0379efcb,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,0.0,0.0,2.4324324324324325,0.0,5139.72972972973
c0f1f72f-914f-5a90-bff3-60ebf42aa157,Joelinton,BRA,24,74.0,0,0,0,0,2,1,0,0,30.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,22.0,50.0,1.0,19.0,1.0,1.0,1.0,159.0,17.0,5.0,11.0,45.5,6.0,9.0,66.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,3.0,30.0,100.0,0.0,0.0,132.0,54.0,2.0,1.0,3.0,1.0,21.0,4.0,0,0,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,True,2020-2021,FW,None,None,None,0.8222222222222222,Fulham_Newcastle Utd,Fulham_Newcastle Utd_2020,0.0,0.0,2.0,1.0,0,Dermot Gallagher,0,0,0,0,4384,Fulham,Newcastle Utd,b1f2f330-21ad-5a4e-b1ee-67a2616bd289,29.18918918918919,0.0,0.0,0.0,0.0,2.4324324324324325,1.2162162162162162,0.0,0.0,36.48648648648649,1.2162162162162162,0.0,0.0,0.12162162162162163,0.12162162162162163,0.0,2.4324324324324325,0.0,13.378378378378379,26.756756756756758,60.810810810810814,1.2162162162162162,23.10810810810811,1.2162162162162162,1.2162162162162162,1.2162162162162162,193.3783783783784,20.675675675675677,6.081081081081082,13.378378378378379,55.33783783783784,7.297297297297297,10.945945945945946,81.12162162162163,0.0,0.0,0.0,0.0,0.0,2.4324324324324325,0.0,0.0,26.756756756756758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,1.2162162162162162,0.0,0.0,3.6486486486486487,0.0,3.6486486486486487,0.0,0.0,1.2162162162162162,0.0,0.0,0.0,1.2162162162162162,25.54054054054054,10.945945945945946,3.6486486486486487,36.48648648648649,121.62162162162163,0.0,0.0,160.54054054054055,65.67567567567568,2.4324324324324325,1.2162162162162162,3.6486486486486487,1.2162162162162162,25.54054054054054,4.864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864864864864865,4.864864864864865,6.081081081081082,54.0,1.0,0.0,0.0,2.4324324324324325,1.2162162162162162,5331.891891891893
